DATE,Inflation
01-01-1960,1.457975986
01-01-1961,1.070724148
01-01-1962,1.198773348
01-01-1963,1.239669421
01-01-1964,1.278911565
01-01-1965,1.585169264
01-01-1966,3.015075377
01-01-1967,2.772785623
01-01-1968,4.271796153
01-01-1969,5.4623862
01-01-1970,5.838255338
01-01-1971,4.292766688
01-01-1972,3.272278247
01-01-1973,6.177760064
01-01-1974,11.0548048
01-01-1975,9.143146865
01-01-1976,5.744812635
01-01-1977,6.501683995
01-01-1978,7.630963839
01-01-1979,11.25447113
01-01-1980,13.54920197
01-01-1981,10.33471534
01-01-1982,6.131427
01-01-1983,3.212435233
01-01-1984,4.300535475
01-01-1985,3.545644152
01-01-1986,1.898047722
01-01-1987,3.664563218
01-01-1988,4.077741107
01-01-1989,4.82700303
01-01-1990,5.39795644
01-01-1991,4.234963965
01-01-1992,3.028819678
01-01-1993,2.951656966
01-01-1994,2.607441592
01-01-1995,2.805419689
01-01-1996,2.9312042
01-01-1997,2.337689937
01-01-1998,1.552279099
01-01-1999,2.188027197
01-01-2000,3.376857271
01-01-2001,2.826171119
01-01-2002,1.586031627
01-01-2003,2.270094973
01-01-2004,2.677236693
01-01-2005,3.392746845
01-01-2006,3.225944101
01-01-2007,2.852672482
01-01-2008,3.839100297
01-01-2009,-0.355546266
01-01-2010,1.640043442
01-01-2011,3.156841569
01-01-2012,2.069337265
01-01-2013,1.464832656
01-01-2014,1.622222977
01-01-2015,0.118627136
01-01-2016,1.261583206
01-01-2017,2.130110004
01-01-2018,2.442583297
01-01-2019,1.812210075
01-01-2020,1.233584396
01-01-2021,4.697858864
01-01-2022,8.002799821
